Full URL,Price (GBP),Bedrooms,Address
https://www.rightmove.co.uk/properties/164092931#/?channel=RES_BUY,1475000,4,"Chatto Road, SW11"
https://www.rightmove.co.uk/properties/162053102#/?channel=RES_BUY,6500000,6,"Lyford Road, London, SW18"
https://www.rightmove.co.uk/properties/162053747#/?channel=RES_BUY,6500000,6,"Lyford Road, Wandsworth, London, SW18, United Kingdom"
https://www.rightmove.co.uk/properties/87151632#/?channel=RES_BUY,5250000,7,"Baskerville Road, SW18"
https://www.rightmove.co.uk/properties/163989467#/?channel=RES_BUY,5250000,6,"Trinity Road, SW17"
https://www.rightmove.co.uk/properties/155418383#/?channel=RES_BUY,5250000,7,"Baskerville Road, London, SW18"
https://www.rightmove.co.uk/properties/159427769#/?channel=RES_BUY,4750000,6,"Clapham Common West Side, SW4"
https://www.rightmove.co.uk/properties/159429377#/?channel=RES_BUY,4750000,6,"Clapham Common West Side, London, SW4"
https://www.rightmove.co.uk/properties/135590633#/?channel=RES_BUY,4500000,7,"Wandle Road, London, SW17."
https://www.rightmove.co.uk/properties/149776079#/?channel=RES_BUY,4500000,7,"Hawthorne House, Wandle Road, SW17"
https://www.rightmove.co.uk/properties/158775074#/?channel=RES_BUY,4250000,6,"Nicosia Road, London, SW18."
https://www.rightmove.co.uk/properties/163300574#/?channel=RES_BUY,4250000,6,"Hendham Road, Wandsworth, London, SW17"
https://www.rightmove.co.uk/properties/87138627#/?channel=RES_BUY,4100000,5,"Blenkarne Road, London, SW11"
https://www.rightmove.co.uk/properties/161417291#/?channel=RES_BUY,4000000,7,"Henderson Road, London, SW18"
https://www.rightmove.co.uk/properties/160170113#/?channel=RES_BUY,3975000,7,"St. James's Drive, London, SW17"
https://www.rightmove.co.uk/properties/162071582#/?channel=RES_BUY,3850000,5,"Lyford Road, Wandsworth, SW18"
https://www.rightmove.co.uk/properties/162780032#/?channel=RES_BUY,3850000,6,"Honeywell Road, SW11"
https://www.rightmove.co.uk/properties/160402508#/?channel=RES_BUY,3800000,5,"Clapham Common South Side, London, SW4"
https://www.rightmove.co.uk/properties/162345950#/?channel=RES_BUY,3600000,6,"Kyrle Road, SW11"
https://www.rightmove.co.uk/properties/158506013#/?channel=RES_BUY,3600000,6,"Kyrle Road, London, SW11"
https://www.rightmove.co.uk/properties/158580437#/?channel=RES_BUY,3550000,7,"Dalebury Road, SW17"
https://www.rightmove.co.uk/properties/159704351#/?channel=RES_BUY,3500000,5,"Nightingale Lane, SW12"
https://www.rightmove.co.uk/properties/159097883#/?channel=RES_BUY,3500000,7,"Elmbourne Road, London, SW17"
https://www.rightmove.co.uk/properties/161700029#/?channel=RES_BUY,3500000,5,"Gorst Road, London, SW11"
